gene,n_normal,n_cancer,median_normal,median_cancer,median_diff,p_value,is_arc,fdr
SDCBP,12,20,4.4053094399563,4.455359771773755,-0.050050331817454996,0.8304790497992884,False,0.8304790497992884
PDCD6IP,12,20,3.8931226740469436,3.880417803643998,0.012704870402945545,0.5207033237981002,False,0.8304790497992884
CD63,12,20,6.2728733656378335,6.255994257181873,0.01687910845596008,0.7703347136423385,False,0.8304790497992884
TSG101,12,20,4.06454476675762,4.009249696229324,0.055295070528296186,0.6827510662271137,False,0.8304790497992884
CD9,12,20,6.5359943166861525,6.189026559806941,0.3469677568792111,0.7115412033707842,False,0.8304790497992884
RAB27A,12,20,3.0081065594557135,2.5157362824704093,0.4923702769853042,0.07654655170467546,False,0.2296396551140264
RAB27B,12,20,3.8116838287481505,3.2809463285921616,0.5307375001559889,0.049332138212721505,False,0.22199462195724678
CD81,12,20,4.294318339772572,3.6815778740755967,0.6127404656969757,0.018524734249302295,False,0.16672260824372068
ARC,12,20,2.976216742179046,1.3215976087223886,1.6546191334566576,0.1669832839108838,True,0.37571238879948854
