celltype_major,subtype_1,subtype_2,n1,n2,median_1,median_2,median_diff,u_stat,p_value,fdr
T-cells,HER2+,TNBC,5,10,2.2340723814237737,0.5014689525538663,1.7326034288699075,47.0,0.008225845348626044,0.18919444301839902
PVL,ER+,TNBC,11,10,3.6987702974190007,2.3813620374389277,1.317408259980073,88.0,0.021931100528458345,0.2454671210957182
T-cells,TNBC,ER+,10,11,0.5014689525538663,1.9998853374572245,-1.4984163849033583,27.0,0.05127272498741172,0.2454671210957182
Myeloid,TNBC,HER2+,10,5,0.8013999965817349,3.435450987266854,-2.634050990685119,9.0,0.05675785612695886,0.2454671210957182
Cancer Epithelial,ER+,TNBC,9,8,2.4132336215902375,0.8030098573707597,1.6102237642194779,56.0,0.059234882764294526,0.2454671210957182
Endothelial,ER+,TNBC,11,9,3.34737869885844,2.2430271207740806,1.1043515780843594,74.0,0.06783258998734912,0.2454671210957182
PVL,HER2+,TNBC,5,10,4.482169926446496,2.3813620374389277,2.1008078890075685,40.0,0.07470738468130554,0.2454671210957182
Myeloid,TNBC,ER+,10,11,0.8013999965817349,2.5685309825412532,-1.7671309859595183,36.0,0.18976542864881063,0.5343434343434342
Cancer Epithelial,ER+,HER2+,9,3,2.4132336215902375,1.2793012276948703,1.1339323938953672,21.0,0.20909090909090908,0.5343434343434342
Cancer Epithelial,TNBC,HER2+,8,3,0.8030098573707597,1.2793012276948703,-0.4762913703241106,6.0,0.2787878787878788,0.6167197741012871
B-cells,HER2+,ER+,5,8,0.0,0.0,0.0,15.0,0.294952935439746,0.6167197741012871
Plasmablasts,TNBC,ER+,5,7,1.3549405974238091,0.8131239555398071,0.541816641884002,24.0,0.32645279996437004,0.6257011999317093
Endothelial,HER2+,TNBC,5,9,2.9775568024801977,2.2430271207740806,0.7345296817061171,29.5,0.3856020542339663,0.682219019029325
B-cells,TNBC,HER2+,7,5,0.0,0.0,0.0,20.0,0.49896229860376107,0.8086639618131939
Normal Epithelial,ER+,TNBC,5,5,3.174005487654031,1.6822130970656877,1.4917923905883435,16.0,0.5296192990034517,0.8086639618131939
B-cells,TNBC,ER+,7,8,0.0,0.0,0.0,24.0,0.5625488430004827,0.8086639618131939
CAFs,ER+,HER2+,10,5,2.8726264358740945,3.4340678531152387,-0.5614414172411442,20.5,0.6238961960277667,0.8298847145911089
Endothelial,ER+,HER2+,11,5,3.34737869885844,2.9775568024801977,0.36982189637824225,32.0,0.6494749940278244,0.8298847145911089
CAFs,ER+,TNBC,10,10,2.8726264358740945,2.61748737670929,0.2551390591648044,44.5,0.7053513720635047,0.8438355129226244
Myeloid,HER2+,ER+,5,11,3.435450987266854,2.5685309825412532,0.8669200047256007,31.0,0.7337700112370646,0.8438355129226244
PVL,ER+,HER2+,11,5,3.6987702974190007,4.482169926446496,-0.7833996290274956,25.5,0.8649649611536234,0.9473425765015876
T-cells,HER2+,ER+,5,11,2.2340723814237737,1.9998853374572245,0.2341870439665492,29.0,0.9097359314728758,0.9510875647216428
CAFs,HER2+,TNBC,5,10,3.4340678531152387,2.61748737670929,0.8165804764059486,25.5,1.0,1.0
